,eval_qubit,barrier,measure,device,depth
0,2,True,True,ionq,25
1,2,True,True,ibm_ideal,34
2,2,True,True,ibm_yorktown,34
3,2,True,True,ibm_tokyo,34
4,2,True,False,ionq,24
5,2,True,False,ibm_ideal,33
6,2,True,False,ibm_yorktown,33
7,2,True,False,ibm_tokyo,33
8,2,False,True,ionq,19
9,2,False,True,ibm_ideal,28
10,2,False,True,ibm_yorktown,28
11,2,False,True,ibm_tokyo,28
12,2,False,False,ionq,18
13,2,False,False,ibm_ideal,27
14,2,False,False,ibm_yorktown,27
15,2,False,False,ibm_tokyo,27
16,3,True,True,ionq,43
17,3,True,True,ibm_ideal,52
18,3,True,True,ibm_yorktown,55
19,3,True,True,ibm_tokyo,52
20,3,True,False,ionq,42
21,3,True,False,ibm_ideal,51
22,3,True,False,ibm_yorktown,51
23,3,True,False,ibm_tokyo,51
24,3,False,True,ionq,30
25,3,False,True,ibm_ideal,42
26,3,False,True,ibm_yorktown,43
27,3,False,True,ibm_tokyo,42
28,3,False,False,ionq,29
29,3,False,False,ibm_ideal,41
30,3,False,False,ibm_yorktown,48
31,3,False,False,ibm_tokyo,41
32,4,True,True,ionq,61
33,4,True,True,ibm_ideal,70
34,4,True,True,ibm_yorktown,77
35,4,True,True,ibm_tokyo,83
36,4,True,False,ionq,60
37,4,True,False,ibm_ideal,69
38,4,True,False,ibm_yorktown,79
39,4,True,False,ibm_tokyo,69
40,4,False,True,ionq,41
41,4,False,True,ibm_ideal,56
42,4,False,True,ibm_yorktown,69
43,4,False,True,ibm_tokyo,66
44,4,False,False,ionq,40
45,4,False,False,ibm_ideal,55
46,4,False,False,ibm_yorktown,71
47,4,False,False,ibm_tokyo,65
48,5,True,True,ionq,79
49,5,True,True,ibm_ideal,88
50,5,True,True,ibm_yorktown,0
51,5,True,True,ibm_tokyo,99
52,5,True,False,ionq,78
53,5,True,False,ibm_ideal,87
54,5,True,False,ibm_yorktown,0
55,5,True,False,ibm_tokyo,109
56,5,False,True,ionq,52
57,5,False,True,ibm_ideal,70
58,5,False,True,ibm_yorktown,0
59,5,False,True,ibm_tokyo,86
60,5,False,False,ionq,51
61,5,False,False,ibm_ideal,69
62,5,False,False,ibm_yorktown,0
63,5,False,False,ibm_tokyo,87
64,6,True,True,ionq,97
65,6,True,True,ibm_ideal,106
66,6,True,True,ibm_yorktown,0
67,6,True,True,ibm_tokyo,128
68,6,True,False,ionq,96
69,6,True,False,ibm_ideal,105
70,6,True,False,ibm_yorktown,0
71,6,True,False,ibm_tokyo,134
72,6,False,True,ionq,63
73,6,False,True,ibm_ideal,84
74,6,False,True,ibm_yorktown,0
75,6,False,True,ibm_tokyo,122
76,6,False,False,ionq,62
77,6,False,False,ibm_ideal,83
78,6,False,False,ibm_yorktown,0
79,6,False,False,ibm_tokyo,124
80,7,True,True,ionq,115
81,7,True,True,ibm_ideal,124
82,7,True,True,ibm_yorktown,0
83,7,True,True,ibm_tokyo,179
84,7,True,False,ionq,114
85,7,True,False,ibm_ideal,123
86,7,True,False,ibm_yorktown,0
87,7,True,False,ibm_tokyo,175
88,7,False,True,ionq,74
89,7,False,True,ibm_ideal,98
90,7,False,True,ibm_yorktown,0
91,7,False,True,ibm_tokyo,149
92,7,False,False,ionq,73
93,7,False,False,ibm_ideal,97
94,7,False,False,ibm_yorktown,0
95,7,False,False,ibm_tokyo,152
